fafb_type	hemibrain_type	hemibrain_type_fafb	fafb_type_nt	fafb_type_confidence	hemibrain_type_nt	hemibrain_type_confidence	known_nt	known_nt_source	FBbt_id	FBbt_name	FBbt_nts	notes	FBbt_definition
CB.FB5F0	FB5H	FB5H	dopamine	0.83	dopamine	0.78	dopamine	"Hulse et al., 2020"	FBbt:00051241	dopaminergic PPL1 fan-shaped body layer 5 neuron	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0254510""]},""value"":""Adult neuron of the dopaminergic PPL1 cluster, whose main projection terminates in fan-shaped body layer 5 with a large-field arborization pattern consisting of mainly presynaptic terminals (Hulse et al., 2021). It receives input in the superior medial and intermediate protocerebra, the crepine and the rubus (Hulse et al., 2021). There is one of these cells per hemisphere (Hulse et al., 2021).""}]"
CB.FB7E2	FB7B|FB7A|FB7K	FB7B	glutamate	0.6818	glutamate	0.72	dopamine	"Hulse et al., 2020"	FBbt:00051243	dopaminergic PPL1 fan-shaped body layer 7 neuron	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0254510""]},""value"":""Adult neuron of the dopaminergic PPL1 cluster, whose main projection terminates in fan-shaped body layer 7 with a large-field arborization pattern consisting of mainly presynaptic terminals (Hulse et al., 2021). It receives input in the superior protocerebrum (Hulse et al., 2021). There is one of these cells per hemisphere (Hulse et al., 2021).""}]"
CB.FB7E2	FB7B|FB7A|FB7K	FB7B	glutamate	0.6818	dopamine	0.78	dopamine	"Hulse et al., 2020"	FBbt:00051243	dopaminergic PPL1 fan-shaped body layer 7 neuron	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0254510""]},""value"":""Adult neuron of the dopaminergic PPL1 cluster, whose main projection terminates in fan-shaped body layer 7 with a large-field arborization pattern consisting of mainly presynaptic terminals (Hulse et al., 2021). It receives input in the superior protocerebrum (Hulse et al., 2021). There is one of these cells per hemisphere (Hulse et al., 2021).""}]"
PAM03	PAM03		dopamine	0.83	dopamine	0.78	dopamine	Mao & Davis 2009	FBbt:00100231	dopaminergic PAM neuron 3	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0205263"",""FlyBase:FBrf0227179"",""FlyBase:FBrf0211625""]},""value"":""A dopaminergic neuron of the PAM cluster whose axonal fibers arborize in the posterior and surface layers of beta lobe slice 2 (Tanaka et al., 2008; Aso et al., 2014) and, more sparsely, in the anterior layer of beta' lobe slice 2 (Aso et al., 2010; Aso et al., 2014). Before entering the beta lobe, fibers branch off to project to the opposite hemisphere (Tanaka et al., 2008). Its dendrites are found in the superior medial protocerebrum, the crepine and, to a lesser extent, the superior intermediate protocerebrum (Aso et al., 2014). There are around 4 neurons of this type in each hemisphere (Tanaka et al., 2008; Aso et al., 2014; Li et al., 2020).""}]"
PAM04	PAM04		dopamine	0.83	dopamine	0.78	dopamine	Mao & Davis 2009	FBbt:00110993	dopaminergic PAM neuron 4	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0227179""]},""value"":""A mushroom body medial lobe arborizing neuron 8 (MB-M8) of the dopaminergic PAM cluster that projects bilaterally to the beta lobe slice 2 (Aso et al., 2014). Dendritic arborizations are found in the superior lateral protocerebrum and, to a lesser extent, the superior lateral protocerebrum (Aso et al., 2014). There are around 16 neurons of this type per hemisphere (Aso et al., 2014; Li et al., 2020).""}]"
PAM06	PAM06		dopamine	0.83	dopamine	0.78	dopamine	Mao & Davis 2009	FBbt:00111018	dopaminergic PAM neuron 6	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0227179""]},""value"":""A dopaminergic neuron of the PAM cluster that projects bilaterally to the middle layer of the beta' lobe slice 2 (Aso et al., 2014; Li et al., 2020). Dendritic terminals are found in the crepine, the superior medial protocerebrum and, to a lesser extent, the superior intermediate protocerebrum (Aso et al., 2014). There are around 15 neurons of this type per hemisphere (Aso et al., 2014; Li et al., 2020).""}]"
PAM08	PAM08		dopamine	0.83	dopamine	0.78	dopamine	Mao & Davis 2009	FBbt:00111020	dopaminergic PAM neuron 8	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0227179"",""FlyBase:FBrf0226572""]},""value"":""A dopaminergic neuron of the PAM cluster that has presynapses in the gamma lobe slice 4, with no dendritic innervation in the mushroom body (Aso et al., 2014). There are around 26 of these cells per hemisphere (Li et al., 2020). It is involved in assigning water value to odors during associative learning (Lin et al., 2014).""}]"
PAM09	PAM09		dopamine	0.83	dopamine	0.78	dopamine	Mao & Davis 2009	FBbt:00111021	dopaminergic PAM neuron 9	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0227179""]},""value"":""A dopaminergic neuron of the PAM cluster that projects to the beta lobe slice 1 and pedunculus (Aso et al., 2014). There are around 6 neurons of this type per hemisphere (Li et al., 2020).""}]"
PAM11	PAM11		dopamine	0.83	dopamine	0.78	"dopamine, amnesiac, sparkly, Nplp1, CG34136, sNPF"	Mao & Davis 2009	FBbt:00111022	dopaminergic PAM neuron 11	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0205263"",""FlyBase:FBrf0230222"",""FlyBase:FBrf0227179"",""FlyBase:FBrf0227330""]},""value"":""A dopaminergic neuron of the PAM cluster that projects to the alpha lobe slice 1 (Aso et al., 2014). Dendritic arborizations are found in the superior medial, intermediate and lateral protocerebrum (Aso et al., 2014). It receives input from MBON-07 in the superior intermediate protocerebrum and the superior lateral protocerebrum and outputs onto this neuron in the mushroom body alpha lobe slice 1 (Ichinose et al., 2015). There are around 7 of these cells per hemisphere (Aso et al., 2014; Li et al., 2020). It is involved in the formation of long term reward memory (Yamagata et al., 2015).""}]"
PAM13	PAM13		dopamine	0.83	dopamine	0.78	dopamine	Mao & Davis 2009	FBbt:00111023	dopaminergic PAM neuron 13	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0235522"",""FlyBase:FBrf0248215"",""FlyBase:FBrf0230351"",""FlyBase:FBrf0227179""]},""value"":""A dopaminergic neuron of the PAM cluster that projects to the anterior-posterior layer of beta' lobe slice 1 in both hemispheres (Aso et al., 2014; Shuai et al., 2015; Li et al., 2020). Dendritic arborizations are found in the superior medial protocerebrum, crepine and to a lesser extent, the superior intermediate protocerebrum (Aso et al., 2014; Shuai et al., 2015). There are around 7 of these neurons per hemisphere (Li et al., 2020). It triggers the formation of long term memory associated with water reward (Shyu et al., 2017).""}]"
PAM14	PAM14		dopamine	0.83	dopamine	0.78	dopamine	Mao & Davis 2009	FBbt:00111024	dopaminergic PAM neuron 14	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0235522"",""FlyBase:FBrf0248215"",""FlyBase:FBrf0230351"",""FlyBase:FBrf0227179""]},""value"":""A dopaminergic neuron of the PAM cluster that projects to the middle layer of beta' lobe slice 1 in both hemispheres (Aso et al., 2014; Shuai et al., 2015; Li et al., 2020). Dendritic arborizations are found in the superior medial protocerebrum, crepine and to a lesser extent, the superior intermediate protocerebrum (Aso et al., 2014; Shuai et al., 2015). There are around 8 of these neurons per hemisphere (Li et al., 2020). It triggers the formation of long term memory associated with water reward (Shyu et al., 2017).""}]"
PAM15	PAM15		dopamine	0.83	dopamine	0.78	dopamine	Mao & Davis 2009	FBbt:00049841	dopaminergic PAM neuron 15	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215""]},""value"":""A dopaminergic neuron of the PAM cluster that projects to gamma lobe slice 5 and the anterior layer of beta' lobe slice 2 (Li et al., 2020). There are around 3 of these neurons per hemisphere (Li et al., 2020).""}]"
PPL102	PPL102		dopamine	0.83	dopamine	0.78	dopamine	"Mao & Davis 2009, Neins et al. 2017"	FBbt:00111025	dopaminergic PPL1 neuron 2	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0255928"",""FlyBase:FBrf0227179""]},""value"":""A dopaminergic neuron of the PPL1 cluster that has sparse terminals in the gamma lobe slice 1 (Aso et al., 2014; Li et al., 2020). It crosses the midline and has a broader arborization in the contralateral hemisphere (Truman et al., 2023). There is one neuron of this type in each hemisphere (Aso et al., 2014; Li et al., 2020). It develops from a larval DAN-g1 neuron (Truman et al., 2023).""}]"
PPL104	PPL104		dopamine	0.83	dopamine	0.78	dopamine	"Mao & Davis 2009, Neins et al. 2017"	FBbt:00110321	MB-alpha' neuron of the dopaminergic PPL1 cluster	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0227179"",""FlyBase:FBrf0208427"",""FlyBase:FBrf0233706""]},""value"":""PPL1 neuron whose main axon innervates the tip of the mushroom body alpha' lobe (segment 3) (Mao and Davis, 2009; Aso et al., 2014; Li et al., 2020). A fiber also crosses the midline to innervate the contralateral alpha' lobe tip (Mao and Davis, 2009; Li et al., 2020). Most of its dendritic arborizations are found in the superior intermediate and lateral protocerebrum, with a smaller amount in the superior medial protocerebrum and lateral horn (Aso et al., 2014). There is one neuron of this type in each hemisphere (Aso et al., 2014; Li et al., 2020) and it develops from the CP3 (DL2) neuroblast during larval development (Ren et al., 2016).""}]"
PPL201	PPL201		dopamine	0.83	dopamine	0.78	dopamine	"Mao & Davis 2009, Neins et al. 2017"	FBbt:00048255	LH-CA neuron of the dopaminergic PPL2ab cluster	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0238545"",""FlyBase:FBrf0208427""]},""value"":""Adult dopaminergic neuron with a cell body in the PPL2ab cluster. It has major arborization sites in the lateral horn, the entire mushroom body calyx and the middle superior protocerebrum (Mao and Davis, 2009; Xie et al., 2018).""}]"
PPL202	PPL202		dopamine	0.83	dopamine	0.78	dopamine	"Mao & Davis 2009, Neins et al. 2017"	FBbt:00048254	vLH-CA neuron of the dopaminergic PPL2ab cluster	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0238545"",""FlyBase:FBrf0208427""]},""value"":""Adult dopaminergic neuron with a cell body in the PPL2ab cluster. Its major arborization sites are in the ventral lateral horn and the mushroom body calyx (Mao and Davis, 2009; Xie et al., 2018). The primary neurite extends dorsally and one branch innervates the calyx (Mao and Davis, 2009). A second branch innervates the a small part of adjacent posterior inferior lateral protocerebrum and the ventral portion of the lateral horn (Mao and Davis, 2009). A third branch projects medially and innervates the middle inferior medial protocerebrum (Mao and Davis, 2009).""}]"
PPL204	PPL204		dopamine	0.83	dopamine	0.78	dopamine	"Mao & Davis 2009, Neins et al. 2017"	FBbt:00100220	dopaminergic PPL2ab neuron	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0055596"",""FlyBase:FBrf0216686"",""FlyBase:FBrf0208427""]},""value"":""A dopaminergic neuron whose cell body is located in a cluster of approximately 6 cell bodies in the cortex of the posterior inferior lateral protocerebrum of the adult brain. Members of this group send processes to various parts of the brain: one group send processes to the calyx, the inferior portion of the lateral horn and broad areas in the middle superior medial protocerebrum; another group sends processes to the calyx, the entire lateral horn and broad areas of the middle superior protocerebrum; another subgroup innervates the lobula and broad protocerebral areas; and a final group innervates the posterior lateral protocerebrum.""}]"
PPL101	PPL101		dopamine	0.83	dopamine	0.78	"dopamine, sparkly, Dh44, Nplp1, sNPF, nitric oxide"	"Mao & Davis 2009, Neins et al. 2017; Aso et al. 2019"	FBbt:00100243	mushroom body pedunculus-medial lobe arborizing neuron 1	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0246510"",""FlyBase:FBrf0248215"",""FlyBase:FBrf0255928"",""FlyBase:FBrf0205263"",""FlyBase:FBrf0227179"",""FlyBase:FBrf0243986""]},""value"":""A neuron whose cell body is located on the inferior neuropils, lateral to the mushroom body calyx (Tanaka et al., 2008), in the dopaminergic PPL1 cluster (Aso et al., 2014). It develops from a larval mushroom body input neuron of the CP3 (DL2) lineage (Truman et al., 2023). The cell body fiber runs anteriormedially and diverges above the ellipsoid body (Tanaka et al., 2008). Its dendrite forms four main arbors, in the superior intermediate protocerebrum, superior medial protocerebrum, dorsal crepine and ventral crepine (Otto et al., 2020). Another fiber turns ventromedially and projects to the opposite hemisphere (Tanaka et al., 2008; Li et al., 2020). A third fiber (axonal) turns ventrolaterally, runs in front of the anterior surface of the gamma lobe and then below the gamma lobe, and arborizes in the spur of the gamma lobe (slice 1) and inner core of the pedunculus (Tanaka et al., 2008; Li et al., 2020; Otto et al., 2020). The contralateral fiber innervates the same mushroom body regions (Li et al., 2020). There are 1-2 neurons of this type per hemisphere (Aso et al., 2014; Li et al., 2020; Otto et al., 2020; Truman et al., 2023). It is involved in food odor attraction (Sayin et al., 2019).""}]"
PPL106	PPL106		dopamine	0.83	dopamine	0.78	"dopamine, sparkly, amnesiac"	"Mao & Davis 2009, Neins et al. 2017; Aso et al. 2019"	FBbt:00110320	MB-alpha neuron of the dopaminergic PPL1 cluster	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0227179"",""FlyBase:FBrf0208427"",""FlyBase:FBrf0233706""]},""value"":""PPL1 cluster dopaminergic neuron with axonal projections to the tip of the mushroom body alpha lobe (segment 3) (Mao and Davis, 2009; Aso et al., 2014) in both hemispheres (Li et al., 2020). Most of its dendritic arborizations are found in the superior medial and lateral protocerebrum, with a smaller amount in the superior intermediate protocerebrum and lateral horn (Aso et al., 2014). There is one neuron of this type in each hemisphere (Aso et al., 2014; Li et al., 2020) and it develops from the CP3 (DL2) neuroblast during larval development (Ren et al., 2016).""}]"
PAM01	PAM01		dopamine	0.83	dopamine	0.78	"dopamine, nitric oxide"	Mao & Davis 2009; Aso et al. 2019	FBbt:00111015	dopaminergic PAM neuron 1	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0246510"",""FlyBase:FBrf0248215"",""FlyBase:FBrf0227179"",""FlyBase:FBrf0238058"",""FlyBase:FBrf0128543""]},""value"":""Dopaminergic neuron of the PAM cluster whose axon projects to the gamma lobe slice 5 (Aso et al., 2014). Its dendrites arborize in the superior medial protocerebrum (Aso et al., 2014). There are around 20 neurons of this type in each hemisphere (Aso et al., 2014; Li et al., 2020; Otto et al., 2020). These neurons form the adult fruitless aSP13 lineage clone (Aso et al., 2014; Zhao et al., 2018).""}]"
PAM02	PAM02		dopamine	0.7692	dopamine	0.78	"dopamine, Nplp1, sNPF, sparkly, amnesiac, CG34136"	Mao & Davis 2009; Aso et al. 2019	FBbt:00111016	dopaminergic PAM neuron 2	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0246510"",""FlyBase:FBrf0248215"",""FlyBase:FBrf0227179"",""FlyBase:FBrf0245835""]},""value"":""Dopaminergic neuron of the PAM cluster whose axon projects to the anterior layer of the beta' lobe slice 2 (Aso et al., 2014). Its dendrites mainly arborize in the superior medial protocerebrum, with some terminals in the crepine (Aso et al., 2014). There are around 8 neurons of this type in each hemisphere (Aso et al., 2014; Li et al., 2020; Otto et al., 2020). These neurons play an important role in retrieval of alcohol-associated memory (Scaplen et al., 2020).""}]"
PAM05	PAM05		dopamine	0.83	dopamine	0.78	"dopamine, sparkly, Nplp1, amnesiac, CG43117, ion-transport protein, nitric oxide"	Mao & Davis 2009; Aso et al. 2019	FBbt:00111017	dopaminergic PAM neuron 5	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0227179""]},""value"":""A dopaminergic neuron of the PAM cluster that projects bilaterally to the posterior layer of the beta' lobe slice 2 (Aso et al., 2014; Li et al., 2020). Dendritic terminals are found in the crepine, the superior medial protocerebrum and, to a lesser extent, the superior intermediate protocerebrum (Aso et al., 2014). There are around 10 neurons of this type per hemisphere (Li et al., 2020).""}]"
PAM10	PAM10		dopamine	0.83	dopamine	0.78	"dopamine, amnesiac, sparkly, Dh44, CG34136, Nplp1"	Mao & Davis 2009; Aso et al. 2019	FBbt:00110994	dopaminergic PAM neuron 10	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0227179""]},""value"":""A mushroom body medial lobe arborizing neuron 8 (MB-M8) of the dopaminergic PAM cluster that projects bilaterally to the surface and core layers of the beta lobe slice 1 (Aso et al., 2014). Dendritic arborizations are found in the superior intermediate and lateral protocerebrum (Aso et al., 2014). There are around 6 neurons of this type per hemisphere (Aso et al., 2014; Li et al., 2020).""}]"
PAM12	PAM12		dopamine	0.83	dopamine	0.78	"dopamine, amnesiac, sparkly, pdf, Gpb5"	Mao & Davis 2009; Aso et al. 2019	FBbt:00100230	dopaminergic PAM neuron 12	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0205263"",""FlyBase:FBrf0227179""]},""value"":""Dopaminergic PAM neuron whose cell body fiber runs dorsally along the anterior surface of the gamma lobe, with one branch innervating the middle part of the gamma lobe (slice 3) (Tanaka et al., 2008; Aso et al., 2014). Another branch bifurcates on the dorsal surface of the medial lobe (Tanaka et al., 2008), with one fiber having dendritic terminals in the crepine and superior medial protocerebrum behind the medial lobe (Tanaka et al., 2008; Aso et al., 2014). The fiber other turns medially through the border between the gamma and beta' lobes and enters the opposite hemisphere, where it runs horizontally, enter the medial lobe at the border between the gamma and beta' lobes and forms arborization in the middle part of the gamma lobe (slice 3) (Tanaka et al., 2008). There are approximately 11 neurons of this type per hemisphere (Tanaka et al., 2008; Aso et al., 2014; Li et al., 2020).""}]"
PAM07	PAM07		dopamine	0.83	dopamine	0.78	"dopamine, amnesiac, sparkly, Nplp1, Dh44"	"Mao & Davis 2009; Aso et al., 2019"	FBbt:00111019	dopaminergic PAM neuron 7	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0227179""]},""value"":""A dopaminergic neuron of the PAM cluster that, unusually, has dendritic arborizations in gamma lobe slices 1 and 2, as well as the superior medial protocerebrum and crepine (Aso et al., 2014). It projects an axon to the gamma lobe slice 4 (Aso et al., 2014). There are around 5 neurons of this type per hemisphere (Li et al., 2020).""}]"
PPL103	PPL103		dopamine	0.83	dopamine	0.78	"dopamine, sparkly, Nplp1"	Mao & Davis 2009; Neins et al. 2017; Aso et al. 2019	FBbt:00100241	mushroom body medial-vertical lobe arborizing neuron 1	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0255928"",""FlyBase:FBrf0205263"",""FlyBase:FBrf0227179""]},""value"":""A neuron whose cell body is located in the inferior neuropils, lateral to the mushroom body calyx (Tanaka et al., 2008), in the dopaminergic PPL1 cluster (Aso et al., 2014). The cell body fiber projects towards the anterior of the inferior neuropils and on the way there it bifurcates with one branch turning ventrally and terminating in the ventral complex (Tanaka et al., 2008). The second branch further branches in the crepine close to the beta lobe (Tanaka et al., 2008), with dendritic arborization (Aso et al., 2020). One fiber runs medially to the opposite hemisphere (Tanaka et al., 2008). Another turns ventrolaterally and arborizes in the basal segments of the gamma lobe (slice 2) and alpha' lobe (slice 1) (Tanaka et al., 2008; Li et al., 2020). The contralateral fiber innervates the same mushroom body regions (Li et al., 2020). The final branch arborizes in the superior medial protocerebrum (Tanaka et al., 2008), with dendritic arborization (Aso et al., 2014). There is one neuron of this type in each hemisphere (Aso et al., 2014; Li et al., 2020) and it develops from the larval DAN-d1 (Truman et al., 2023).""}]"
PPL105	PPL105		dopamine	0.83	dopamine	0.78	"dopamine, Dh31, sparkly, sNPF, Ms, Nplp1, tachykinin"	Mao & Davis 2009; Neins et al. 2017; Aso et al. 2019	FBbt:00100236	mushroom body vertical lobe arborizing neuron 1	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0205263"",""FlyBase:FBrf0227179"",""FlyBase:FBrf0245835""]},""value"":""A dopaminergic neuron of the PPL1 cluster that has its cell body in the superior neuropils lateral to the calyx (Tanaka et al., 2008; Aso et al., 2014). The cell body fiber projects anterior-medially and forms dendritic branches in the superior neuropils posterior to the vertical lobes (Tanaka et al., 2008; Aso et al., 2014). One of these branches projects to the opposite hemisphere and others project to the vertical lobe and form extensive arborizations in the middle segment of both the alpha and alpha' lobes (slice 2) (Tanaka et al., 2008; Aso et al., 2014). The contralateral branch innervates the same mushroom body regions (Li et al., 2020), There is one neuron of this type in each hemisphere (Aso et al., 2014; Li et al., 2020) and it develops from the CP3 (DL2) neuroblast during larval development (Ren et al., 2016). It plays an important role in retrieval of alcohol-associated memory (Scaplen et al., 2020).""}]"
ExR2_1	ExR2	ExR2	dopamine	0.83	dopamine	0.78	dopamine	Nassel and Elekes 1992	FBbt:00110327	EB neuron of the dopaminergic PPM3 cluster	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0049409"",""FlyBase:FBrf0254510"",""FlyBase:FBrf0240929"",""FlyBase:FBrf0220041""]},""value"":""Extrinsic ring neuron that is part of the dopaminergic PPM3 cluster and innervates the bulb and the lateral surface of the lateral accessory lobe, bilaterally (Omoto et al., 2018). It projects along the lateral ellipsoid fascicle, entering the ellipsoid body at a dorsolateral position (Omoto et al., 2018). It has mainly postsynaptic terminals in the lateral accessory lobe and mixed terminals in the outer central (sparse) and outer posterior (concentrated) domains of the ellipsoid body (Omoto et al., 2018; Hulse et al., 2021). Its terminals in the bulb are mostly presynaptic (Hulse et al., 2021).""}]"
ExR2_2	ExR2	ExR2	dopamine	0.83	dopamine	0.78	dopamine	Nassel and Elekes 1992	FBbt:00110327	EB neuron of the dopaminergic PPM3 cluster	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0049409"",""FlyBase:FBrf0254510"",""FlyBase:FBrf0240929"",""FlyBase:FBrf0220041""]},""value"":""Extrinsic ring neuron that is part of the dopaminergic PPM3 cluster and innervates the bulb and the lateral surface of the lateral accessory lobe, bilaterally (Omoto et al., 2018). It projects along the lateral ellipsoid fascicle, entering the ellipsoid body at a dorsolateral position (Omoto et al., 2018). It has mainly postsynaptic terminals in the lateral accessory lobe and mixed terminals in the outer central (sparse) and outer posterior (concentrated) domains of the ellipsoid body (Omoto et al., 2018; Hulse et al., 2021). Its terminals in the bulb are mostly presynaptic (Hulse et al., 2021).""}]"
LPsP	LPsP		acetylcholine	0.54	glutamate	0.72	dopamine	Wolff et al. 2015; Pablo Reimers	FBbt:00111382	adult lateral accessory lobe-posterior slope-protocerebral bridge neuron	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0055596"",""FlyBase:FBrf0247138"",""FlyBase:FBrf0227801"",""FlyBase:FBrf0221742"",""FlyBase:FBrf0221280"",""FlyBase:FBrf0254510""]},""value"":""Adult interneuron that has dendritic arborizations in the lateral accessory lobe and posterior slope (Wolff et al., 2015; Duhart et al., 2020). Its axon terminals fill all 18 glomeruli of the protocerebral bridge (Lin et al., 2013; Wolff et al., 2015). It also has postsynaptic sites throughout the protocerebral bridge (Duhart et al., 2020). There is one of these cells per hemisphere and it is the only dopaminergic neuron to project to the protocerebral bridge (Duhart et al., 2020). Its cell body is in the tritocerebrum, near the esophageal foramen, and it also has arborization in the tritocerebrum (Nassel and Elekes, 1992, Alekseyenko et al., 2013).""}]"
CB.FB6E2	FB6H	FB6H	glutamate	0.75	dopamine	0.78			FBbt:00051242	dopaminergic PPL1 fan-shaped body layer 6 neuron	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0254510""]},""value"":""Adult neuron of the dopaminergic PPL1 cluster, whose main projection terminates in fan-shaped body layer 6 with a large-field arborization pattern consisting of mainly presynaptic terminals (Hulse et al., 2021). It receives input in the superior protocerebrum (Hulse et al., 2021). There is one of these cells per hemisphere (Hulse et al., 2021).""}]"
									FBbt:00005132	dorso-lateral dopaminergic neuron	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0127196""]},""value"":""Dopaminergic neuron of the dorso-lateral cluster of the adult brain.""}]"
									FBbt:00047740	VMNP-LO neuron of the dopaminergic PAL cluster	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0238545""]},""value"":""Adult dopaminergic neuron with a cell body in the PAL cluster. It has major arborization sites in the ventromedial neuropils and the lobula.""}]"
									FBbt:00048247	SMP-PRW neuron of the dopaminergic PAL cluster	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0238545""]},""value"":""Adult dopaminergic neuron with a cell body in the PAL cluster. It has major arborization sites in the superior medial protocerebrum and the prow.""}]"
									FBbt:00048248	AOTU neuron of the dopaminergic PAL cluster	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0238545""]},""value"":""Adult dopaminergic neuron with a cell body in the PAL cluster. It has a major arborization site in the anterior optic tubercle.""}]"
									FBbt:00048249	LH-SMP neuron of the dopaminergic PAL cluster	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0238545""]},""value"":""Adult dopaminergic neuron with a cell body in the PAL cluster. It has major arborization sites in the lateral horn and the superior medial protocerebrum.""}]"
									FBbt:00048250	SMP-PED neuron of the dopaminergic PPL1 cluster	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0238545""]},""value"":""MB-SV neuron that has terminals in the mushroom body pedunculus and the superior medial protocerebrum, in addition to the area surrounding the vertical lobe.""}]"
									FBbt:00048251	SMP-gamma neuron of the dopaminergic PPL1 cluster	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0255928"",""FlyBase:FBrf0238545""]},""value"":""Unilateral MB-SV neuron that has terminals in the mushroom body gamma lobe and the superior medial protocerebrum, in addition to the area surrounding the vertical lobe (Xie et al., 2018). It develops from the larval OAN-e1 cell (Truman et al., 2023).""}]"
									FBbt:00048252	bSMP-gamma neuron of the dopaminergic PPL1 cluster	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0238545""]},""value"":""Bilateral MB-SV neuron that has terminals in the mushroom body gamma lobe and the superior medial protocerebrum, in addition to the area surrounding the vertical lobe.""}]"
									FBbt:00048256	ALT neuron of the dopaminergic PPL2ab cluster	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0238545""]},""value"":""Adult dopaminergic neuron with a cell body in the PPL2ab cluster. It passes close to the antennal lobe tract and is distinct from the ALT-PLPC neuron.""}]"
									FBbt:00048257	ALT-PLPC neuron of the dopaminergic PPL2ab cluster	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0238545""]},""value"":""Adult dopaminergic neuron with a cell body in the PPL2ab cluster. It passes close to the antennal lobe tract and the posterior posteriolateral protocerebral commissure.""}]"
									FBbt:00048258	VES-LO neuron of the dopaminergic PPL2c cluster	[dopaminergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0238545""]},""value"":""Adult dopaminergic neuron with a cell body in the PPL2c cluster. It has major arborization sites in the vest and the lobula.""}]"
